i,j,label_i,label_j,pearson,spearman,signed_diff,absdiff,signed_ratio,abs_ratio,mean_abs_strength,abs_dominance,sign_agreement,sign_relation
4,5,канал[4],канал[5],0.9965201074577303,0.995874851874852,0.0006452555828783124,0.0006452555828783124,1.0006479283834344,1.0006479283834344,0.9961974796662911,0.0006452555828783124,1.0,знак совпадает
4,6,канал[4],канал[6],0.9966174068894184,0.9957771357771358,0.0008402711122825757,0.0008402711122825757,1.0008438345108484,1.0008438345108484,0.9961972713332771,0.0008402711122825757,1.0,знак совпадает
4,7,канал[4],канал[7],0.9971497233946454,0.9966021006021007,0.0005476227925446109,0.0005476227925446109,1.0005494899039584,1.0005494899039584,0.996875911998373,0.0005476227925446109,1.0,знак совпадает
4,8,канал[4],канал[8],0.997404259547499,0.9968849048849049,0.0005193546625941181,0.0005193546625941181,1.0005209775572377,1.0005209775572377,0.997144582216202,0.0005193546625941181,1.0,знак совпадает
4,9,канал[4],канал[9],0.9964167353255353,0.9954971634971636,0.000919571828371768,0.000919571828371768,1.0009237312391142,1.0009237312391142,0.9959569494113494,0.000919571828371768,1.0,знак совпадает
4,10,канал[4],канал[10],0.9966016010088578,0.9959663279663279,0.0006352730425298603,0.0006352730425298603,1.0006378459037135,1.0006378459037135,0.9962839644875928,0.0006352730425298603,1.0,знак совпадает
4,11,канал[4],канал[11],0.9968484522672586,0.9961130401130402,0.0007354121542183512,0.0007354121542183512,1.0007382818260615,1.0007382818260615,0.9964807461901495,0.0007354121542183512,1.0,знак совпадает
4,12,канал[4],канал[12],0.9972707704279897,0.996898908898909,0.00037186152908075254,0.00037186152908075254,1.000373018292789,1.000373018292789,0.9970848396634493,0.00037186152908075254,1.0,знак совпадает
4,13,канал[4],канал[13],0.9966700407090356,0.9960641640641642,0.0006058766448714392,0.0006058766448714392,1.0006082706985455,1.0006082706985455,0.9963671023865999,0.0006058766448714392,1.0,знак совпадает
4,14,канал[4],канал[14],0.9968543806631742,0.9962036642036642,0.0006507164595099812,0.0006507164595099812,1.0006531962116705,1.0006531962116705,0.9965290224334192,0.0006507164595099812,1.0,знак совпадает
4,15,канал[4],канал[15],0.9968085299602658,0.996053604053604,0.0007549259066618186,0.0007549259066618186,1.0007579169470293,1.0007579169470293,0.996431067006935,0.0007549259066618186,1.0,знак совпадает
4,16,канал[4],канал[16],0.9925747531663537,0.99200162000162,0.0005731331647337301,0.0005731331647337301,1.000577754262874,1.000577754262874,0.9922881865839868,0.0005731331647337301,1.0,знак совпадает
4,17,канал[4],канал[17],0.9925998158821183,0.9912277152277154,0.0013721006544029635,0.0013721006544029635,1.0013842436337526,1.0013842436337526,0.9919137655549168,0.0013721006544029635,1.0,знак совпадает
4,18,канал[4],канал[18],0.992643021075821,0.9917803997803999,0.0008626212954211399,0.0008626212954211399,1.0008697704608924,1.0008697704608924,0.9922117104281105,0.0008626212954211399,1.0,знак совпадает
4,19,канал[4],канал[19],-0.1409773350640655,-0.1327967167967168,-0.0081806182673487,0.0081806182673487,1.0616025641648315,1.0616025641648315,0.13688702593039115,0.0081806182673487,1.0,знак совпадает
5,6,канал[5],канал[6],0.9965294254014835,0.9955041955041956,0.001025229897287927,0.001025229897287927,1.0010298599462644,1.0010298599462644,0.9960168104528395,0.001025229897287927,1.0,знак совпадает
5,7,канал[5],канал[7],0.9972632584160882,0.9965529605529607,0.0007102978631274848,0.0007102978631274848,1.0007127547568906,1.0007127547568906,0.9969081094845245,0.0007102978631274848,1.0,знак совпадает
5,8,канал[5],канал[8],0.9970982411445177,0.9965212085212086,0.0005770326233091039,0.0005770326233091039,1.0005790470071032,1.0005790470071032,0.9968097248328631,0.0005770326233091039,1.0,знак совпадает
5,9,канал[5],канал[9],0.9961934799177176,0.9956473676473677,0.0005461122703498411,0.0005461122703498411,1.0005484996878364,1.0005484996878364,0.9959204237825426,0.0005461122703498411,1.0,знак совпадает
5,10,канал[5],канал[10],0.9965634485743712,0.9957802797802799,0.000783168794091238,0.000783168794091238,1.000786487551515,1.000786487551515,0.9961718641773256,0.000783168794091238,1.0,знак совпадает
5,11,канал[5],канал[11],0.9974899706986043,0.9971030651030652,0.00038690559553911097,0.00038690559553911097,1.0003880296922958,1.0003880296922958,0.9972965179008348,0.00038690559553911097,1.0,знак совпадает
5,12,канал[5],канал[12],0.9968097507363084,0.9960870840870841,0.0007226666492242684,0.0007226666492242684,1.0007255054912056,1.0007255054912056,0.9964484174116963,0.0007226666492242684,1.0,знак совпадает
5,13,канал[5],канал[13],0.9972503775549164,0.9965937725937726,0.0006566049611438363,0.0006566049611438363,1.0006588491511792,1.0006588491511792,0.9969220750743445,0.0006566049611438363,1.0,знак совпадает
5,14,канал[5],канал[14],0.9968513276264667,0.9963228363228365,0.0005284913036301964,0.0005284913036301964,1.000530441825042,1.000530441825042,0.9965870819746516,0.0005284913036301964,1.0,знак совпадает
5,15,канал[5],канал[15],0.997299689969606,0.9966441126441129,0.0006555773254931507,0.0006555773254931507,1.0006577847771096,1.0006577847771096,0.9969719013068594,0.0006555773254931507,1.0,знак совпадает
5,16,канал[5],канал[16],0.992565237419519,0.9917077277077279,0.0008575097117911046,0.0008575097117911046,1.0008646798727414,1.0008646798727414,0.9921364825636234,0.0008575097117911046,1.0,знак совпадает
5,17,канал[5],канал[17],0.9931315737968182,0.9920189480189481,0.0011126257778700799,0.0011126257778700799,1.001121577143352,1.001121577143352,0.9925752609078831,0.0011126257778700799,1.0,знак совпадает
5,18,канал[5],канал[18],0.992531725912564,0.9912893472893473,0.0012423786232167444,0.0012423786232167444,1.0012532956463358,1.0012532956463358,0.9919105366009556,0.0012423786232167444,1.0,знак совпадает
5,19,канал[5],канал[19],-0.1290703686459622,-0.12196286596286599,-0.007107502683096206,0.007107502683096206,1.058275956595348,1.058275956595348,0.1255166173044141,0.007107502683096206,1.0,знак совпадает
6,7,канал[6],канал[7],0.9970721234899576,0.996122904122904,0.0009492193670534999,0.0009492193670534999,1.0009529139056281,1.0009529139056281,0.9965975138064308,0.0009492193670534999,1.0,знак совпадает
6,8,канал[6],канал[8],0.9973225271039022,0.9967272127272129,0.0005953143766893598,0.0005953143766893598,1.0005972691114358,1.0005972691114358,0.9970248699155575,0.0005953143766893598,1.0,знак совпадает
6,9,канал[6],канал[9],0.9959819320230326,0.9949527229527231,0.0010292090703095669,0.0010292090703095669,1.0010344301257403,1.0010344301257403,0.9954673274878778,0.0010292090703095669,1.0,знак совпадает
6,10,канал[6],канал[10],0.9963809857916562,0.9956784356784358,0.0007025501132204015,0.0007025501132204015,1.0007055994064407,1.0007055994064407,0.996029710735046,0.0007025501132204015,1.0,знак совпадает
6,11,канал[6],канал[11],0.9965474901117154,0.9956708036708036,0.000876686440911767,0.000876686440911767,1.0008804982908805,1.0008804982908805,0.9961091468912595,0.000876686440911767,1.0,знак совпадает
6,12,канал[6],канал[12],0.997266521751669,0.9966258606258607,0.000640661125808295,0.000640661125808295,1.0006428301242414,1.0006428301242414,0.9969461911887648,0.000640661125808295,1.0,знак совпадает
6,13,канал[6],канал[13],0.9963788958511599,0.9953698073698074,0.0010090884813525047,0.0010090884813525047,1.0010137824895644,1.0010137824895644,0.9958743516104837,0.0010090884813525047,1.0,знак совпадает
6,14,канал[6],канал[14],0.9965430260825495,0.995817095817096,0.0007259302654535338,0.0007259302654535338,1.000728979516924,1.000728979516924,0.9961800609498228,0.0007259302654535338,1.0,знак совпадает
6,15,канал[6],канал[15],0.9969183353938214,0.9961791121791124,0.0007392232147089839,0.0007392232147089839,1.0007420585371358,1.0007420585371358,0.9965487237864669,0.0007392232147089839,1.0,знак совпадает
6,16,канал[6],канал[16],0.991804444407364,0.9901696501696503,0.0016347942377137326,0.0016347942377137326,1.0016510243849968,1.0016510243849968,0.9909870472885072,0.0016347942377137326,1.0,знак совпадает
6,17,канал[6],канал[17],0.9924303052215562,0.9913251793251795,0.0011051258963766797,0.0011051258963766797,1.001114796556594,1.001114796556594,0.9918777422733678,0.0011051258963766797,1.0,знак совпадает
6,18,канал[6],канал[18],0.9919584465041471,0.9901904821904823,0.0017679643136647716,0.0017679643136647716,1.0017854790017309,1.0017854790017309,0.9910744643473147,0.0017679643136647716,1.0,знак совпадает
6,19,канал[6],канал[19],-0.1301768755218497,-0.12255368655368656,-0.007623188968163136,0.007623188968163136,1.0622028531538599,1.0622028531538599,0.12636528103776812,0.007623188968163136,1.0,знак совпадает
7,8,канал[7],канал[8],0.997576560602465,0.996884256884257,0.0006923037182080538,0.0006923037182080538,1.000694467500542,1.000694467500542,0.997230408743361,0.0006923037182080538,1.0,знак совпадает
7,9,канал[7],канал[9],0.996719753005621,0.9961630081630083,0.0005567448426126997,0.0005567448426126997,1.0005588892962802,1.0005588892962802,0.9964413805843146,0.0005567448426126997,1.0,знак совпадает
7,10,канал[7],канал[10],0.9969886270851699,0.9960715320715322,0.000917095013637681,0.000917095013637681,1.0009207120012058,1.0009207120012058,0.996530079578351,0.000917095013637681,1.0,знак совпадает
7,11,канал[7],канал[11],0.9973441469183859,0.9967581007581008,0.0005860461602851252,0.0005860461602851252,1.0005879522422134,1.0005879522422134,0.9970511238382433,0.0005860461602851252,1.0,знак совпадает
7,12,канал[7],канал[12],0.9975384500086635,0.9969652209652209,0.0005732290434425913,0.0005732290434425913,1.000574973962369,1.000574973962369,0.9972518354869422,0.0005732290434425913,1.0,знак совпадает
7,13,канал[7],канал[13],0.9974095320612217,0.9967999087999089,0.0006096232613128638,0.0006096232613128638,1.0006115803742868,1.0006115803742868,0.9971047204305653,0.0006096232613128638,1.0,знак совпадает
7,14,канал[7],канал[14],0.9969298645691801,0.9963298563298563,0.0006000082393238237,0.0006000082393238237,1.0006022184676209,1.0006022184676209,0.9966298604495182,0.0006000082393238237,1.0,знак совпадает
7,15,канал[7],канал[15],0.9976317605591597,0.9970047970047972,0.0006269635543625363,0.0006269635543625363,1.0006288470790172,1.0006288470790172,0.9973182787819784,0.0006269635543625363,1.0,знак совпадает
7,16,канал[7],канал[16],0.9931487460571403,0.9923546123546123,0.0007941337025280104,0.0007941337025280104,1.0008002519388142,1.0008002519388142,0.9927516792058764,0.0007941337025280104,1.0,знак совпадает
7,17,канал[7],канал[17],0.9929243775626075,0.9916374676374677,0.0012869099251398008,0.0012869099251398008,1.001297762506096,1.001297762506096,0.9922809226000376,0.0012869099251398008,1.0,знак совпадает
7,18,канал[7],канал[18],0.9935728423994583,0.9926373926373926,0.000935449762065721,0.000935449762065721,1.0009423881963386,1.0009423881963386,0.9931051175184255,0.000935449762065721,1.0,знак совпадает
7,19,канал[7],канал[19],-0.13214978766162597,-0.12280314280314282,-0.009346644858483147,0.009346644858483147,1.0761107952543698,1.0761107952543698,0.1274764652323844,0.009346644858483147,1.0,знак совпадает
8,9,канал[8],канал[9],0.9965186929231257,0.9957828957828959,0.0007357971402297547,0.0007357971402297547,1.0007389132142617,1.0007389132142617,0.9961507943530108,0.0007357971402297547,1.0,знак совпадает
8,10,канал[8],канал[10],0.9968973211759179,0.9962612162612163,0.0006361049147015629,0.0006361049147015629,1.0006384920985771,1.0006384920985771,0.9965792687185671,0.0006361049147015629,1.0,знак совпадает
8,11,канал[8],канал[11],0.9974510579061411,0.9969159489159489,0.0005351089901921569,0.0005351089901921569,1.0005367643990188,1.0005367643990188,0.997183503411045,0.0005351089901921569,1.0,знак совпадает
8,12,канал[8],канал[12],0.9977811412460325,0.9972968772968773,0.00048426394915512816,0.00048426394915512816,1.0004855765220761,1.0004855765220761,0.9975390092714549,0.00048426394915512816,1.0,знак совпадает
8,13,канал[8],канал[13],0.9971936846810951,0.9968201888201889,0.00037349586090629217,0.00037349586090629217,1.0003746872957582,1.0003746872957582,0.997006936750642,0.00037349586090629217,1.0,знак совпадает
8,14,канал[8],канал[14],0.9973962657546018,0.996988056988057,0.0004082087665447931,0.0004082087665447931,1.0004094419824627,1.0004094419824627,0.9971921613713295,0.0004082087665447931,1.0,знак совпадает
8,15,канал[8],канал[15],0.9973326136370472,0.9967554967554969,0.0005771168815502659,0.0005771168815502659,1.0005789954341149,1.0005789954341149,0.997044055196272,0.0005771168815502659,1.0,знак совпадает
8,16,канал[8],канал[16],0.9928797100846098,0.9916004956004957,0.0012792144841141662,0.0012792144841141662,1.0012900502670075,1.0012900502670075,0.9922401028425527,0.0012792144841141662,1.0,знак совпадает
8,17,канал[8],канал[17],0.9927472797978395,0.9919070719070721,0.0008402078907674415,0.0008402078907674415,1.00084706311162,1.00084706311162,0.9923271758524558,0.0008402078907674415,1.0,знак совпадает
8,18,канал[8],канал[18],0.9932063838795716,0.991863055863056,0.0013433280165155992,0.0013433280165155992,1.001354348272753,1.001354348272753,0.9925347198713138,0.0013433280165155992,1.0,знак совпадает
8,19,канал[8],канал[19],-0.1320424164871965,-0.12321612321612321,-0.008826293271073288,0.008826293271073288,1.0716326162574668,1.0716326162574668,0.12762926985165984,0.008826293271073288,1.0,знак совпадает
9,10,канал[9],канал[10],0.9958506135050125,0.9948890148890148,0.0009615986159976497,0.0009615986159976497,1.0009665385802906,1.0009665385802906,0.9953698141970136,0.0009615986159976497,1.0,знак совпадает
9,11,канал[9],канал[11],0.9967508296730939,0.996060348060348,0.0006904816127458746,0.0006904816127458746,1.0006932126292252,1.0006932126292252,0.9964055888667209,0.0006904816127458746,1.0,знак совпадает
9,12,канал[9],канал[12],0.9964159034016281,0.9956616716616719,0.000754231739956257,0.000754231739956257,1.000757518102206,1.000757518102206,0.99603878753165,0.000754231739956257,1.0,знак совпадает
9,13,канал[9],канал[13],0.996646847422065,0.9961296721296722,0.000517175292392813,0.000517175292392813,1.000519184707436,1.000519184707436,0.9963882597758686,0.000517175292392813,1.0,знак совпадает
9,14,канал[9],канал[14],0.9962996467140287,0.9953996753996754,0.000899971314353265,0.000899971314353265,1.0009041306086341,1.0009041306086341,0.9958496610568521,0.000899971314353265,1.0,знак совпадает
9,15,канал[9],канал[15],0.9969980978919738,0.9962567042567043,0.0007413936352694828,0.0007413936352694828,1.0007441793185448,1.0007441793185448,0.996627401074339,0.0007413936352694828,1.0,знак совпадает
9,16,канал[9],канал[16],0.9917485209450456,0.9908612468612468,0.0008872740837988502,0.0008872740837988502,1.0008954574483657,1.0008954574483657,0.9913048839031462,0.0008872740837988502,1.0,знак совпадает
9,17,канал[9],канал[17],0.993073127854453,0.9916294516294516,0.0014436762250014112,0.0014436762250014112,1.0014558625932592,1.0014558625932592,0.9923512897419523,0.0014436762250014112,1.0,знак совпадает
